menu_id,company_id,item_name,item_price,item_description,item_size
28,1,Java Jolt,2.99,A bold and invigorating coffee blend for those who need a quick pick-me-up.,Small
30,1,Java Jolt,3.99,A bold and invigorating coffee blend for those who need a quick pick-me-up.,Large
29,1,Java Jolt,3.49,A bold and invigorating coffee blend for those who need a quick pick-me-up.,Medium
101,1,RoboRoast,3.99,"A bold and flavorful blend of coffee beans, roasted to perfection.",Medium
102,1,RoboRoast,4.99,"A bold and flavorful blend of coffee beans, roasted to perfection.",Large
100,1,RoboRoast,2.99,"A bold and flavorful blend of coffee beans, roasted to perfection.",Small
179,1,Bean Bagel,2.99,A bagel made with coffee beans.,n/a
60,1,Latte Loaf,4.99,Sweet bread infused with espresso and topped with a vanilla glaze.,n/a
33,1,Mocha Mist,4.49,A rich and decadent coffee blend with hints of chocolate and steamed milk.,Large
32,1,Mocha Mist,3.99,A rich and decadent coffee blend with hints of chocolate and steamed milk.,Medium
31,1,Mocha Mist,3.49,A rich and decadent coffee blend with hints of chocolate and steamed milk.,Small
192,1,Donut Dream,3.5,"A light and fluffy donut, topped with a sweet glaze.",n/a
67,1,Mocha Magic,2.5,"A rich and decadent blend of chocolate and coffee, roasted to perfection and brewed to a smooth and creamy cup.",Small
68,1,Mocha Magic,3.5,"A rich and decadent blend of chocolate and coffee, roasted to perfection and brewed to a smooth and creamy cup.",Medium
69,1,Mocha Magic,4.5,"A rich and decadent blend of chocolate and coffee, roasted to perfection and brewed to a smooth and creamy cup.",Large
103,1,Mocha Moose,2.99,"A rich and creamy blend of chocolate and coffee, topped with whipped cream.",Small
105,1,Mocha Moose,4.99,"A rich and creamy blend of chocolate and coffee, topped with whipped cream.",Large
104,1,Mocha Moose,3.99,"A rich and creamy blend of chocolate and coffee, topped with whipped cream.",Medium
97,1,Coffee Comet,2.99,"A smooth and rich blend of coffee beans, roasted to perfection.",Small
98,1,Coffee Comet,3.99,"A smooth and rich blend of coffee beans, roasted to perfection.",Medium
99,1,Coffee Comet,4.99,"A smooth and rich blend of coffee beans, roasted to perfection.",Large
135,1,Coffee Dream,4.99,"A rich and creamy blend of coffee, milk, and chocolate.",Large
134,1,Coffee Dream,3.99,"A rich and creamy blend of coffee, milk, and chocolate.",Medium
133,1,Coffee Dream,2.99,"A rich and creamy blend of coffee, milk, and chocolate.",Small
40,1,Crema Splash,4.25,A classic espresso with a creamy splash of steamed milk.,Small
42,1,Crema Splash,6.75,A classic espresso with a creamy splash of steamed milk.,Large
41,1,Crema Splash,5.75,A classic espresso with a creamy splash of steamed milk.,Medium
54,1,Java Journey,6.99,Java Journey - Large,Large
52,1,Java Journey,4.99,Java Journey - Small,Small
53,1,Java Journey,5.99,Java Journey - Medium,Medium
1,1,Mocha Marvel,3.99,A sweet and creamy combination of chocolate and coffee.,Small
2,1,Mocha Marvel,4.99,A sweet and creamy combination of chocolate and coffee.,Medium
3,1,Mocha Marvel,5.99,A sweet and creamy combination of chocolate and coffee.,Large
129,1,Mocha Melody,3.99,"Mocha Melody is a rich and decadent chocolate drink made with espresso, steamed milk, and chocolate syrup. It is topped with a dollop of whipped cream and a dusting of cocoa powder.",Large
128,1,Mocha Melody,3.49,"Mocha Melody is a rich and decadent chocolate drink made with espresso, steamed milk, and chocolate syrup. It is topped with a dollop of whipped cream and a dusting of cocoa powder.",Medium
163,1,Mocha Melody,3.99,"A decadent coffee drink made with espresso, chocolate syrup, and steamed milk.",Small
127,1,Mocha Melody,2.99,"Mocha Melody is a rich and decadent chocolate drink made with espresso, steamed milk, and chocolate syrup. It is topped with a dollop of whipped cream and a dusting of cocoa powder.",Small
165,1,Mocha Melody,4.99,"A decadent coffee drink made with espresso, chocolate syrup, and steamed milk.",Large
164,1,Mocha Melody,4.49,"A decadent coffee drink made with espresso, chocolate syrup, and steamed milk.",Medium
108,1,Mocha Mousse,4.99,Our Mocha Mousse is a light and fluffy mousse made with rich chocolate and coffee. It is the perfect dessert for any occasion.,n/a
119,1,Beanish Bagel,2.99,A toasted bagel topped with cream cheese and a sprinkle of poppy seeds.,n/a
38,1,Coffee Nebula,6.75,This rich blend of coffee and dark chocolate will leave you wanting more.,Medium
39,1,Coffee Nebula,7.95,This rich blend of coffee and dark chocolate will leave you wanting more.,Large
37,1,Coffee Nebula,5.25,This rich blend of coffee and dark chocolate will leave you wanting more.,Small
182,1,Cosmic Coffee,3.49,"A rich and bold blend of coffee beans, roasted to perfection. Enjoy the smooth, chocolatey notes with a hint of caramel.",Medium
181,1,Cosmic Coffee,2.99,"A rich and bold blend of coffee beans, roasted to perfection. Enjoy the smooth, chocolatey notes with a hint of caramel.",Small
183,1,Cosmic Coffee,3.99,"A rich and bold blend of coffee beans, roasted to perfection. Enjoy the smooth, chocolatey notes with a hint of caramel.",Large
5,1,Espresso Yeti,3.99,A bold and intense shot of espresso.,Medium
6,1,Espresso Yeti,4.99,A bold and intense shot of espresso.,Large
4,1,Espresso Yeti,2.99,A bold and intense shot of espresso.,Small
198,1,Midnight Brew,4.99,"A bold, robust coffee with a hint of smokiness.",Large
197,1,Midnight Brew,3.99,"A bold, robust coffee with a hint of smokiness.",Medium
196,1,Midnight Brew,2.99,"A bold, robust coffee with a hint of smokiness.",Small
150,1,Mocha Blossom,3.49,"This chocolatey drink is made with espresso, steamed milk, and chocolate syrup.",Large
149,1,Mocha Blossom,2.99,"This chocolatey drink is made with espresso, steamed milk, and chocolate syrup.",Medium
148,1,Mocha Blossom,2.49,"This chocolatey drink is made with espresso, steamed milk, and chocolate syrup.",Small
12,1,Biscotti Boost,2.5,A crunchy and flavorful biscotti with a hint of espresso.,n/a
80,1,Caramel Clouds,4.99,A sweet and decadent treat that is sure to satisfy your sweet tooth.,Medium
81,1,Caramel Clouds,5.99,A sweet and decadent treat that is sure to satisfy your sweet tooth.,Large
79,1,Caramel Clouds,3.99,A sweet and decadent treat that is sure to satisfy your sweet tooth.,Small
